127.0.0.1 - - [29/Dec/2019:14:19:03 +0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:00 +0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /tomcat.css HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:01 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:15 +0800] "GET /chapter/index.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [29/Dec/2019:14:20:24 +0800] "GET /chapter2/index.html HTTP/1.1" 404 1024
